FIPS	year	area_sqkm	n_farm_fert_kgsqkm	p_farm_fert_kgsqkm	n_nonfarm_fert_kgsqkm	p_nonfarm_fert_kgsqkm	n_total_fert_kgsqkm	p_total_fert_kgsqkm	n_manure_kgsqkm	p_manure_kgsqkm	n_livestock_dem_kgsqkm	p_livestock_dem_kgsqkm	n_livestock_prod_kgsqkm	p_livestock_prod_kgsqkm	n_livestock_rec_kgsqkm	p_livestock_rec_kgsqkm	n_crop_rem_kgsqkm	p_crop_rem_kgsqkm	n_pasture_rem_kgsqkm	p_pasture_rem_kgsqkm	n_crop_fix_kgsqkm	n_human_food_dem_kgsqkm	p_human_food_dem_kgsqkm	n_human_food_waste_kgsqkm	p_human_food_waste_kgsqkm	p_human_nonfood_dem_kgsqkm	p_human_nonfood_waste_kgsqkm	p_human_total_dem_kgsqkm	p_human_total_waste_kgsqkm	n_point_source_kgsqkm	p_point_source_kgsqkm	n_atm_dep_kgsqkm	p_atm_dep_kgsqkm	n_nat_fix_kgsqkm	n_rock_kgsqkm	n_emis_total_kgsqkm	n_emis_ag_kgsqkm	n_emis_fire_kgsqkm	n_emis_lightning_kgsqkm	n_emis_nonpoint_kgsqkm	n_emis_point_kgsqkm	n_emis_transport_kgsqkm	n_ag_n2o_kgsqkm	n_ag_n2_kgsqkm	n_terr_surplus_kgsqkm	p_terr_surplus_kgsqkm	n_ag_surplus_kgsqkm	p_ag_surplus_kgsqkm	n_leg_ag_surplus_kgsqkm	p_leg_ag_surplus_kgsqkm	n_nue_kgsqkm	p_nue_kgsqkm
10001	1950	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	423.839584	578.59929	1212.344784	280.2684658	1595.308468	409.4528541	382.9636843	129.1843884	347.037899	150.2841388	1003.206891	176.7814032	541.6207806	119.4069425	359.578585	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	86.63302806	147.2761477	3811.232747	278.8302762	992.5560624	682.0863525	992.5560624	682.0863525	0.50266836	0.20583076
10001	1951	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	606.2735893	652.9993657	1194.208159	277.5310182	1571.344764	405.7288992	377.1366053	128.197881	341.8462269	148.8162786	1081.335534	188.6518071	525.9472137	115.9515125	411.3615575	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	88.40545139	150.2892674	3811.232747	278.8302762	1130.507772	741.8785768	2123.063834	1423.964929	0.488884331	0.202735784
10001	1952	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	788.7075945	727.3994414	1176.071533	274.7935707	1547.381059	402.0049443	371.3095263	127.2113736	336.6545549	147.3484183	1159.464176	200.522211	510.2736468	112.4960825	463.1445301	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	90.17787472	153.302387	3811.232747	278.8302762	1268.459481	801.6708012	3391.523315	2225.635731	0.477553803	0.200083426
10001	1953	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	971.1415998	801.7995172	1157.934907	272.0561232	1523.417354	398.2809894	365.4824473	126.2248662	331.4628828	145.8805581	1237.592819	212.3926149	494.60008	109.0406525	514.9275026	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	91.95029805	156.3155067	3811.232747	278.8302762	1406.41119	861.4630255	4797.934505	3087.098756	0.468075243	0.197785072
10001	1954	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	1153.575605	876.1995929	1139.798281	269.3186757	1499.45365	394.5570345	359.6553683	125.2383588	326.2712108	144.4126978	1315.721462	224.2630188	478.9265131	105.5852225	566.7104751	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	93.72272139	159.3286264	3811.232747	278.8302762	1544.362899	921.2552498	6342.297404	4008.354006	0.4600289	0.195774284
10001	1955	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	1166.543477	880.4064057	1109.108149	261.5768319	1460.697911	382.8421153	351.5897613	121.2652834	317.4860542	140.2614055	1455.658073	240.7651387	448.1079143	98.79088449	709.6201865	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	93.76454854	159.3997325	3811.232747	278.8302762	1529.613739	901.2180989	7871.911144	4909.572105	0.487613244	0.210830712
10001	1956	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	1179.511348	884.6132184	1078.418018	253.8349881	1421.942172	371.1271962	343.5241543	117.2922081	308.7008976	136.1101132	1595.594685	257.2672585	417.2893155	91.99654648	852.5298979	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	93.80637569	159.4708387	3811.232747	278.8302762	1514.864579	881.180948	9386.775723	5790.753053	0.5129772	0.225980644
10001	1957	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	1192.47922	888.8200312	1047.727886	246.0931444	1383.186434	359.412277	335.4585472	113.3191327	299.915741	131.9588209	1735.531296	273.7693784	386.4707167	85.20220847	995.4396092	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	93.84820284	159.5419448	3811.232747	278.8302762	1500.115419	861.1437972	10886.89114	6651.89685	0.536378489	0.241224954
10001	1958	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	1205.447091	893.0268439	1017.037755	238.3513006	1344.430695	347.6973579	327.3929402	109.3460573	291.1305844	127.8075286	1875.467908	290.2714982	355.6521179	78.40787046	1138.349321	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	93.89002999	159.613051	3811.232747	278.8302762	1485.366259	841.1066463	12372.2574	7493.003496	0.558036432	0.256564527
10001	1959	1547.347215	964.185968	160.0743333	10.4775619	2.127830432	1218.414963	897.2336567	986.3476232	230.6094568	1305.674957	335.9824387	319.3273332	105.372982	282.3454278	123.6562363	2015.404519	306.7736181	324.8335191	71.61353245	1281.259032	99.7232177	10.27743306	75.47489906	8.205887962	6.793141617	6.793141617	17.24473488	15.19138261	16.94253867	1.458779206	1016.881196	9.59	541.5660819	226.6737839	1118.499024	399.3981704	10.08198758	66.61484855	28.90768521	29.29649722	262.3908665	93.93185714	159.6841571	3811.232747	278.8302762	1470.617099	821.0694954	13842.8745	8314.072992	0.578138847	0.272000258
