海淀,当代城市家园,3室2厅,南北,11,简装,,140,968,2002
海淀,小南庄社区,1室1厅,南北,6,其他,无电梯,54,515,1995
海淀,澐澐国际,4室1厅,西南,26,简装,有电梯,216,1100,2008
海淀,宝盛北里,1室1厅,南北,6,其他,无电梯,54,360,2004
海淀,皂君庙甲16号院,4室1厅,西南,16,精装,有电梯,171,1370,1999
海淀,稻香园,2室1厅,东西,6,简装,,61,600,1992
海淀,知春路47号院,2室1厅,南北,6,精装,无电梯,68,592,1996
海淀,金隅翡丽爱公馆,1室1厅,南,18,精装,有电梯,69,425,2014
海淀,保利西山林语,1室1厅,南,8,精装,,72,480,2008
海淀,华清嘉园,3室1厅,东南,19,其他,有电梯,139,1600,2001
海淀,中关村北一条,3室1厅,南北,5,简装,,81,820,1993
海淀,清缘里中区,3室1厅,南北,10,精装,有电梯,84,560,1998
海淀,双榆树北里,3室1厅,南北,6,简装,无电梯,72,720,1985
海淀,林大北路9号院,3室1厅,南北,6,精装,,82,720,1989
海淀,双清路14号院,2室2厅,东南,15,精装,,74,580,1998
海淀,柳林馆,3室1厅,东北,16,简装,,72,650,1985
海淀,柳林馆,3室1厅,东西,24,精装,,73,730,1990
海淀,上地东里,3室1厅,南北,6,简装,无电梯,73,860,1997
海淀,碧水云天,3室1厅,南,13,精装,,141,2100,2003
海淀,望塔园,1室1厅,西南,17,简装,有电梯,62,525,2001
海淀,玉阜嘉园,3室2厅,南北,12,精装,有电梯,139,1046,2002
海淀,东升园,2室1厅,南北,12,简装,有电梯,97,910,1998
海淀,北洼西里,3室1厅,东西,6,简装,无电梯,69,559,1980
海淀,澐澐国际,2室1厅,西北,26,精装,有电梯,98,650,2008
海淀,安宁佳园,3室1厅,西南,18,简装,有电梯,108,738,2007
海淀,知春里,2室1厅,东南,18,精装,,63,580,1988
海淀,玉海园二里,3室2厅,西南,10,简装,有电梯,126,860,1998
海淀,东王庄,2室1厅,南北,6,精装,无电梯,74,596,1996
海淀,五矿万科如园,3室3厅,南北,10,精装,,226,2099,2013
海淀,烟树园,2室2厅,西南,11,精装,有电梯,99,880,2003
海淀,东南小区,3室1厅,南北,11,精装,,124,1398,1997
海淀,世纪金源国际公寓,4室2厅,南北,16,精装,有电梯,205,1800,2002
海淀,晴雪园,3室2厅,南北,12,精装,有电梯,170,2100,2005
海淀,北洼西里,3室1厅,西北,18,简装,有电梯,76,615,1996
海淀,领秀新硅谷2号院,2室2厅,东西,5,精装,无电梯,99,840,2008
海淀,621小区,2室1厅,南,6,简装,无电梯,58,453,1980
海淀,百旺家苑,2室1厅,南北,5,简装,无电梯,99,880,2003
海淀,北小马厂,2室1厅,南,5,简装,无电梯,51,372,1990
海淀,育新花园,2室1厅,西南,20,简装,有电梯,92,660,1999
海淀,香溪度,3室2厅,西南,9,精装,有电梯,166,1280,2009
海淀,三虎桥南路12号院,3室1厅,南北,5,简装,,83,733,1980
海淀,碧水云天,3室1厅,南北,13,精装,,148,2300,2003
海淀,华清嘉园,3室1厅,东南,19,其他,有电梯,139,1600,2001
海淀,中关村北一条,3室1厅,南北,5,简装,,81,820,1993
海淀,玉海园三里,2室1厅,东南,10,简装,有电梯,88,620,1999
海淀,金沟河5号院,4室1厅,南北,5,简装,无电梯,103,720,1992
海淀,皂君东里,3室1厅,南北,6,精装,无电梯,71,680,1985
海淀,郦城三区,3室2厅,南北,12,精装,有电梯,144,1490,2005
海淀,蓟门北里,3室1厅,南北,6,精装,,56,466,1982
海淀,保利西山林语,1室1厅,东西,8,精装,,55,480,2010
海淀,清缘里中区,3室1厅,南北,10,精装,有电梯,84,560,1998
海淀,太阳园,3室2厅,东南,26,精装,有电梯,140,1410,2001
海淀,太月园,2室1厅,东南,18,精装,有电梯,109,1030,1999
海淀,东王庄,2室1厅,南北,6,精装,无电梯,74,596,1996
海淀,柳林馆,3室1厅,东西,24,精装,,73,730,1990
海淀,双榆树北里,3室1厅,南北,6,简装,无电梯,72,720,1985
海淀,上地东里,3室1厅,南北,6,简装,无电梯,73,860,1997
海淀,橡树湾,2室1厅,西南,16,精装,有电梯,88,825,2007
海淀,中鑫嘉园,2室1厅,西南,26,精装,,71,580,2004
海淀,七彩华园,3室2厅,南北,6,简装,有电梯,124,1050,2005
海淀,紫竹院小区,3室1厅,西北,14,简装,有电梯,70,520,1982
海淀,汇景阁,2室1厅,南北,20,简装,有电梯,155,1150,1999
海淀,毛纺厂南小区,2室1厅,南北,6,精装,,70,465,1996
海淀,博望园,2室1厅,南,16,精装,有电梯,85,770,2002
海淀,万寿路甲6号院,2室1厅,南,6,精装,无电梯,50,565,1980
海淀,知春里,2室1厅,东南,18,精装,,63,580,1988
海淀,玉海园二里,3室2厅,西南,10,简装,有电梯,126,860,1998
海淀,碧水云天,3室1厅,南,13,精装,,141,2100,2003
海淀,望塔园,1室1厅,西南,17,简装,有电梯,62,525,2001
海淀,永泰东里,3室1厅,南北,6,精装,无电梯,79,556,1996
海淀,中兴家园,4室2厅,东南,20,精装,有电梯,178,1600,2000
海淀,当代城市家园,3室2厅,南北,11,精装,有电梯,143,1100,2003
海淀,今典花园,2室1厅,西,19,其他,有电梯,67,610,1999
海淀,冠城大通百旺府,3室1厅,南北,11,精装,,126,750,2007
海淀,阳春光华家园,3室1厅,西南,16,精装,有电梯,127,1430,2000
海淀,志新村,2室1厅,南北,6,简装,无电梯,58,506,1995
海淀,铭科苑,3室1厅,西北,18,简装,有电梯,114,620,2000
海淀,新康园,2室1厅,东南,32,精装,有电梯,101,550,2003
海淀,上地佳园,3室2厅,南北,11,精装,有电梯,145,1280,2004
海淀,菊园,2室1厅,南北,6,精装,无电梯,58,410,1997
海淀,翠微路26号院,2室1厅,南北,6,精装,无电梯,57,530,1989
海淀,加气混凝土厂宿舍,3室1厅,南北,5,精装,无电梯,71,490,1981
海淀,育新花园,2室1厅,南北,6,简装,无电梯,69,539,1996
海淀,翠微中里,2室1厅,南北,6,简装,无电梯,64,625,1993
海淀,天秀花园古月园,6室3厅,西南,6,精装,有电梯,314,2510,2004
海淀,沁春家园,3室2厅,南北,6,简装,无电梯,127,650,2000
海淀,远大园六区,3室2厅,南西,16,简装,,172,1650,2000
海淀,文慧园北路乙26号,2室1厅,西南,13,精装,有电梯,58,530,1985
海淀,海赋国际,2室1厅,东北,14,精装,有电梯,67,695,2006
海淀,强佑清河新城,3室1厅,东南,27,简装,有电梯,128,860,2009
海淀,钟表南园,3室1厅,东西,6,简装,,73,599,1988
海淀,清缘里中区,3室1厅,南北,10,精装,有电梯,84,560,1998
海淀,保利西山林语,1室1厅,东西,8,精装,,55,480,2010
海淀,蓟门北里,3室1厅,南北,6,精装,,56,466,1982
海淀,博望园,2室1厅,南,16,精装,有电梯,85,770,2002
海淀,太阳园,3室2厅,东南,26,精装,有电梯,140,1410,2001
海淀,翠叠园,2室2厅,南北,13,简装,有电梯,127,1350,2004
海淀,逸成东苑,2室1厅,南北,15,精装,有电梯,117,1030,2005
海淀,万寿路甲6号院,2室1厅,南,6,精装,无电梯,50,565,1980
海淀,今典花园,2室1厅,东南,20,精装,,123,1200,1999
海淀,圆明园东里,2室1厅,南北,5,精装,,65,635,1993
海淀,邮局宿舍,2室2厅,南北,6,精装,无电梯,85,720,1997
海淀,太阳园,2室1厅,东南,30,简装,,109,1090,2001
海淀,兰园,3室2厅,东南,6,简装,,85,550,1996
海淀,莱圳家园,1室1厅,西,16,精装,,70,500,2012
海淀,明光村小区,2室1厅,南,18,简装,有电梯,59,508,1984
